Day,Birdtype,Intervention 
1,Broiler,Anti-Biotic & Vitamins 
2,Broiler,Anti-Biotic & Vitamins 
3,Broiler,Anti-Biotic & Vitamins 
4,Broiler,Plain Water 
5,Broiler,Coccidiostat & Vitamins 
6,Broiler,Coccidiostat & Vitamins 
7,Broiler,Gomboro Vaccine 
8,Broiler,Plain Water 
9,Broiler,Anti-Biotic & Vitamins 
10,Broiler,Anti-Biotic & Vitamins 
11,Broiler,Anti-Biotic & Vitamins 
12,Broiler,Plain Water 
13,Broiler,Plain Water 
14,Broiler,HB1
15,Broiler,Plain Water 
16,Broiler,Coccidiostat & Vitamins 
17,Broiler,Coccidiostat & Vitamins 
18,Broiler,Coccidiostat & Vitamins 
19,Broiler,Plain Water 
20,Broiler,Plain Water 
21,Broiler,2nd Gomboro Vaccine 
22,Broiler,Plain Water 
23,Broiler,Plain Water 
24,Broiler,Anti-Biotic & Vitamins 
25,Broiler,Anti-Biotic & Vitamins 
26,Broiler,Anti-Biotic & Vitamins 
27,Broiler,Plain Water 
28,Broiler,LASOTA 
29,Broiler,Vitamins 
30,Broiler,Vitamins 
31,Broiler,Vitamins 
32,Broiler,Plain Water 
33,Broiler,Plain Water 
34,Broiler,Plain Water 
35,Broiler,Gumboro
36,Broiler,Coccidiostat & Vitamins 
37,Broiler,Coccidiostat & Vitamins 
38,Broiler,Coccidiostat & Vitamins 
39,Broiler,Plain Water 
40,Broiler,Plain Water 
41,Broiler,Plain Water 
42,Broiler,2nd Newcastle Vaccine 
43,Broiler,Plain Water 
44,Broiler,Anti-Biotic & Vitamins 
45,Broiler,Anti-Biotic & Vitamins 
46,Broiler,Anti-Biotic & Vitamins 
47,Broiler,Deworming 
48,Broiler,Vitamins 
49,Broiler,Vitamins 
50,Broiler,Vitamins 
51,Broiler,Plain Water 
52,Broiler,Plain Water 
53,Broiler,Plain Water 
54,Broiler,Anti-Biotic & Vitamins 
55,Broiler,Anti-Biotic & Vitamins 
56,Broiler,1st Fowl Pox Vaccine
57,Broiler,Plain Water 
58,Broiler,Coccidiostat & Vitamins 
59,Broiler,Coccidiostat & Vitamins 
60,Broiler,Coccidiostat & Vitamins 
61,Broiler,Plain Water 
62,Broiler,Plain Water 
63,Broiler,Vitamins 
64,Broiler,Vitamins 
65,Broiler,Vitamins 
66,Broiler,Plain Water 
67,Broiler,Plain Water 
68,Broiler,Anti-Biotic & Vitamins 
69,Broiler,Anti-Biotic & Vitamins 
70,Broiler,LASOTA 
71,Broiler,Plain Water 
72,Broiler,Plain Water 
73,Broiler,Coccidiostat & Vitamins 
74,Broiler,Coccidiostat & Vitamins 
75,Broiler,Coccidiostat & Vitamins 
76,Broiler,Plain Water 
77,Broiler,Plain Water 
78,Broiler,Deworming 
79,Broiler,Deworming 
80,Broiler,Plain Water 
81,Broiler,Plain Water 
82,Broiler,Plain Water 
83,Broiler,Plain Water 
84,Broiler,2nd Fowl Pox Vaccine
85,Broiler,Vitamins 
86,Broiler,Vitamins 
87,Broiler,Vitamins 
88,Broiler,Vitamins 
89,Broiler,Plain Water 
90,Broiler,Vitamins 
91,Broiler,Vitamins 
92,Broiler,Vitamins 
93,Broiler,Vitamins 
94,Broiler,Plain Water 
95,Broiler,Plain Water 
96,Broiler,Anti-Biotic & Vitamins 
97,Broiler,Anti-Biotic & Vitamins 
98,Broiler,Anti-Biotic & Vitamins 
99,Broiler,Plain Water 
100,Broiler,Plain Water 
101,Broiler,Plain Water 
102,Broiler,3rd New Castle 
103,Broiler,Vitamins 
104,Broiler,Vitamins 
105,Broiler,Vitamins 
106,Broiler,Plain Water 
107,Broiler,Plain Water 
108,Broiler,Anti-Biotic & Vitamins 
109,Broiler,Anti-Biotic & Vitamins 
110,Broiler,Anti-Biotic & Vitamins 
111,Broiler,Plain Water 
112,Broiler,3rd Newcastle Vaccine 
113,Broiler,Plain Water 
114,Broiler,Plain Water 
115,Broiler,Plain Water 
116,Broiler,Vitamins 
117,Broiler,Vitamins 
118,Broiler,Anti-Biotic & Vitamins 
119,Broiler,Anti-Biotic & Vitamins 
120,Broiler,Anti-Biotic & Vitamins 
